dataset,group,cache,mode,axis,runs,total_median_sec,read_median_sec,write_median_sec,plan_hashes
test18,test18_phase5_contiguous,cold_scrubbed,random,x,3,5.614,5.567,3.714,ec538bbbe8e42dcf
test18,test18_phase5_contiguous,cold_scrubbed,random,y,3,7.132,7.126,1.096,e67288f0fd202bdc
test18,test18_phase5_contiguous,cold_scrubbed,random,z,3,6.628,6.622,1.888,f8b9ce98ac582ff4
test18,test18_phase5_contiguous,cold_scrubbed,sequential,x,3,0.427,0.2,0.375,e2b261fdd67dcd09
test18,test18_phase5_contiguous,cold_scrubbed,sequential,y,3,0.147,0.104,0.065,39bc1538f3c8ff56
test18,test18_phase5_contiguous,cold_scrubbed,sequential,z,3,0.095,0.061,0.058,8388ff452309d81b
test18,test18_phase5_contiguous,hot_prefetched,random,x,3,1.966,1.826,1.809,ec538bbbe8e42dcf
test18,test18_phase5_contiguous,hot_prefetched,random,y,3,1.723,1.716,0.894,e67288f0fd202bdc
test18,test18_phase5_contiguous,hot_prefetched,random,z,3,2.381,2.375,0.992,f8b9ce98ac582ff4
test18,test18_phase5_contiguous,hot_prefetched,sequential,x,3,0.245,0.117,0.184,e2b261fdd67dcd09
test18,test18_phase5_contiguous,hot_prefetched,sequential,y,3,0.105,0.06,0.07,39bc1538f3c8ff56
test18,test18_phase5_contiguous,hot_prefetched,sequential,z,3,0.112,0.072,0.067,8388ff452309d81b
test18,test18_phase5_round_robin,cold_scrubbed,random,x,3,5.761,5.704,3.899,ec538bbbe8e42dcf
test18,test18_phase5_round_robin,cold_scrubbed,random,y,3,7.759,7.751,1.33,e67288f0fd202bdc
test18,test18_phase5_round_robin,cold_scrubbed,random,z,3,4.204,4.197,1.301,f8b9ce98ac582ff4
test18,test18_phase5_round_robin,cold_scrubbed,sequential,x,3,0.25,0.12,0.19,e2b261fdd67dcd09
test18,test18_phase5_round_robin,cold_scrubbed,sequential,y,3,0.095,0.059,0.059,39bc1538f3c8ff56
test18,test18_phase5_round_robin,cold_scrubbed,sequential,z,3,0.108,0.06,0.071,8388ff452309d81b
test18,test18_phase5_round_robin,hot_prefetched,random,x,3,1.909,1.78,1.738,ec538bbbe8e42dcf
test18,test18_phase5_round_robin,hot_prefetched,random,y,3,1.734,1.727,1.019,e67288f0fd202bdc
test18,test18_phase5_round_robin,hot_prefetched,random,z,3,2.794,2.787,1.097,f8b9ce98ac582ff4
test18,test18_phase5_round_robin,hot_prefetched,sequential,x,3,0.232,0.109,0.179,e2b261fdd67dcd09
test18,test18_phase5_round_robin,hot_prefetched,sequential,y,3,0.097,0.054,0.067,39bc1538f3c8ff56
test18,test18_phase5_round_robin,hot_prefetched,sequential,z,3,0.099,0.064,0.063,8388ff452309d81b
test18,test18_previous,cold_scrubbed,random,x,4,5.8245000000000005,4.121,1.7040000000000002,ec538bbbe8e42dcf
test18,test18_previous,cold_scrubbed,random,y,4,8.7715,8.1665,0.605,e67288f0fd202bdc
test18,test18_previous,cold_scrubbed,random,z,4,4.321,3.6864999999999997,0.626,f8b9ce98ac582ff4
test18,test18_previous,cold_scrubbed,sequential,x,4,0.24,0.07400000000000001,0.16,e2b261fdd67dcd09
test18,test18_previous,cold_scrubbed,sequential,y,4,0.108,0.05,0.057999999999999996,39bc1538f3c8ff56
test18,test18_previous,cold_scrubbed,sequential,z,4,0.127,0.0745,0.052000000000000005,8388ff452309d81b
test18,test18_previous,hot_prefetched,random,x,4,2.3875,0.7595000000000001,1.6255000000000002,ec538bbbe8e42dcf
test18,test18_previous,hot_prefetched,random,y,4,2.4385000000000003,1.8054999999999999,0.6295,e67288f0fd202bdc
test18,test18_previous,hot_prefetched,random,z,4,2.967,2.4044999999999996,0.5445,f8b9ce98ac582ff4
test18,test18_previous,hot_prefetched,sequential,x,4,0.235,0.07500000000000001,0.16,e2b261fdd67dcd09
test18,test18_previous,hot_prefetched,sequential,y,4,0.099,0.0475,0.051500000000000004,39bc1538f3c8ff56
test18,test18_previous,hot_prefetched,sequential,z,4,0.122,0.072,0.051000000000000004,8388ff452309d81b
test50,test50_phase5_contiguous,cold_scrubbed,random,x,3,8.061,7.992,6.778,8b91a9e0f840b280
test50,test50_phase5_contiguous,cold_scrubbed,random,y,3,56.207,56.172,21.983,beb82312af1110d9
test50,test50_phase5_contiguous,cold_scrubbed,random,z,3,28.271,28.253,10.961,e31dc0f5a2a371c5
test50,test50_phase5_contiguous,cold_scrubbed,sequential,x,3,0.607,0.39,0.534,1665cbc72a2c1b90
test50,test50_phase5_contiguous,cold_scrubbed,sequential,y,3,0.641,0.384,0.312,cd37d91f37db20eb
test50,test50_phase5_contiguous,cold_scrubbed,sequential,z,3,0.699,0.572,0.229,94a80cbf971ae4d6
test50,test50_phase5_contiguous,hot_prefetched,random,x,3,13.715,13.645,13.187,8b91a9e0f840b280
test50,test50_phase5_contiguous,hot_prefetched,random,y,3,51.448,51.302,21.458,beb82312af1110d9
test50,test50_phase5_contiguous,hot_prefetched,random,z,3,27.158,27.127,10.781,e31dc0f5a2a371c5
test50,test50_phase5_contiguous,hot_prefetched,sequential,x,3,0.666,0.393,0.599,1665cbc72a2c1b90
test50,test50_phase5_contiguous,hot_prefetched,sequential,y,3,0.674,0.385,0.359,cd37d91f37db20eb
test50,test50_phase5_contiguous,hot_prefetched,sequential,z,3,0.558,0.327,0.279,94a80cbf971ae4d6
test50,test50_phase5_round_robin,cold_scrubbed,random,x,3,5.664,5.626,4.219,8b91a9e0f840b280
test50,test50_phase5_round_robin,cold_scrubbed,random,y,3,41.121,41.103,6.551,beb82312af1110d9
test50,test50_phase5_round_robin,cold_scrubbed,random,z,3,25.838,25.824,4.291,e31dc0f5a2a371c5
test50,test50_phase5_round_robin,cold_scrubbed,sequential,x,3,0.347,0.225,0.26,1665cbc72a2c1b90
test50,test50_phase5_round_robin,cold_scrubbed,sequential,y,3,0.434,0.311,0.157,cd37d91f37db20eb
test50,test50_phase5_round_robin,cold_scrubbed,sequential,z,3,0.513,0.428,0.141,94a80cbf971ae4d6
test50,test50_phase5_round_robin,hot_prefetched,random,x,3,4.543,4.501,3.932,8b91a9e0f840b280
test50,test50_phase5_round_robin,hot_prefetched,random,y,3,40.221,40.202,7.16,beb82312af1110d9
test50,test50_phase5_round_robin,hot_prefetched,random,z,3,26.609,26.596,5.002,e31dc0f5a2a371c5
test50,test50_phase5_round_robin,hot_prefetched,sequential,x,3,0.406,0.295,0.335,1665cbc72a2c1b90
test50,test50_phase5_round_robin,hot_prefetched,sequential,y,3,0.45,0.314,0.171,cd37d91f37db20eb
test50,test50_phase5_round_robin,hot_prefetched,sequential,z,3,0.411,0.33,0.135,94a80cbf971ae4d6
