dataset,group,file,cases,total_sec
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121424_484_pid27804.log,12,27.622
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121632_037_pid13184.log,12,26.496999999999993
test18,test18_phase5_contiguous,logs\test18_phase5_contiguous\block3d_test18_20260717_121837_285_pid32596.log,12,29.274
test18,test18_phase5_round_robin,logs\test18_phase5_round_robin\block3d_test18_20260717_120803_852_pid29076.log,12,23.990000000000002
test18,test18_phase5_round_robin,logs\test18_phase5_round_robin\block3d_test18_20260717_121009_584_pid33152.log,12,27.227999999999998
test18,test18_phase5_round_robin,logs\test18_phase5_round_robin\block3d_test18_20260717_121220_278_pid9452.log,12,24.939999999999994
test18,test18_previous,logs\test18_previous\block3d_test18_20260716_152902_608_pid36296.log,12,27.25
test18,test18_previous,logs\test18_previous\block3d_test18_20260716_161306_359_pid38228.log,12,28.304999999999996
test18,test18_previous,logs\test18_previous\block3d_test18_20260716_163222_789_pid42760.log,12,28.41100000000001
test18,test18_previous,logs\test18_previous\block3d_test18_20260716_201406_347_pid30292.log,12,23.021000000000004
test50,test50_phase5_contiguous,logs\test50_phase5_contiguous\block3d_test50_20260717_123712_751_pid29424.log,12,164.113
test50,test50_phase5_contiguous,logs\test50_phase5_contiguous\block3d_test50_20260717_124247_847_pid12844.log,12,195.64200000000002
test50,test50_phase5_contiguous,logs\test50_phase5_contiguous\block3d_test50_20260717_124902_692_pid23028.log,12,200.28600000000003
test50,test50_phase5_round_robin,logs\test50_phase5_round_robin\block3d_test50_20260717_122135_144_pid32116.log,12,135.08700000000002
test50,test50_phase5_round_robin,logs\test50_phase5_round_robin\block3d_test50_20260717_122635_127_pid3952.log,12,147.85
test50,test50_phase5_round_robin,logs\test50_phase5_round_robin\block3d_test50_20260717_123151_612_pid21336.log,12,152.93300000000002
